Question,Answer,Category,polarity
请问这个洗面奶洗完干了会不会起皮，我皮肤很干,我一直用这个，不起皮。,不良反应,1
请问适合油皮敏感肌吗,油皮还行敏感肌不清楚,适用性,0
我是干性发质，可以用吗,这个去油效果好，干性发质选其他品牌吧。,适用性,0
止痒效果怎么样？去屑去油吗,这个是因人而异的，主要看适不适合,效果,0
可以洗脸吗,可以，滋润好用,功能,1
用完头发有刺痛感有吗,没有,不良反应,1
控油不咋样，头屑越用越多。你们的效果怎么样？??,我的还好，没什么头屑，控油嘛，反正都是一天一洗，看不出来效果??,效果,0
这个可以把稀疏的头发变浓密吗,不会那么明显吧！但可以防止个调理,功能,0
可以冲干净嘛，会假滑吗,很干净不会假滑,易冲洗,1
你们用这个会不会有股味道，有些难闻,没有啊,味道,0
为什么京东上的便宜这么多啊，是正品吗？,可以,认证产品,1
油油性发质可以用吗,看说明,适用性,0
它这个是什么气味？我用的赠品，一股工业品的味道，没有洗面奶的清香,就很正常的洗面奶味道很好用,味道,0
干枯但是是油性头皮可以用吗,真实回答，第二天就很油了,适用性,-1
味道好闻吗？腻吗？,不错,味道,1
混油性发质适合吗,我感觉油性干性都一样，洗完之后肯定都不油,适用性,1
洗的时候会掉头发，有没有一样的，之前用都不会，最近刚买的会掉头发,不会,不良反应,1
这个洗完脸皮肤干燥吗？我以前用过一款洗面奶洗完脸很干燥还会起皮，这款怎么样？,我用完后会干、起皮，抹上水乳就好了,不良反应,-1
这个新生儿可以用吗,可以，宝宝小时候我家一般一周用一两次，平常清水洗,适用性,1
头发分叉用了会好转吗,作用不太大,效果,0
我跟老公没使用之前是没有头皮屑的，使用之后第二天头上就出现了头皮屑，这效果杠杠滴？,我的短发没头屑！,不良反应,0
100克的洗面奶有塑封吗,没有,包装,-1
一个月婴儿能用吗,这个适合3岁以上的，有婴儿款的自己选择哦！,适用性,0
洗完头发会发干发涩吗？,非常清爽，不油腻不干，清新,不良反应,1
这个可以除螨吗,这个只是清洁皮肤的作用，除螨用除螨皂,功能,-1
可以祛痘吗？,不能，祛痘得用专门针对祛痘的,功能,-1
请问这款洗面奶是不是没有铝纸封口,有的,包装,1
洗完会觉得干吗,不会,不良反应,1
请问红石榴款洗完会假滑/很干吗，好不好冲洗呢,是凝胶的，没泡沫的好用，但总体还可以，身体不干,不良反应,1
冬天用了会干吗,不会，洗完挺滑的,不良反应,1
孕妇可以用么,可以,适用性,1
好冲洗吗？假滑不,好冲洗,易冲洗,1
大家用这个感觉里面有颗粒吗，为什么我在屈臣氏买的刚开始没有颗粒，越用里面颗粒越多,没有颗粒宝宝,质地,1
你们都是什么价位买的,49，还有5个赠品合计340ml,价格,0
味道大不大阿,不是太大，淡淡的，挺好闻的,味道,1
男人能用吗？香味大不大,男女都可以用不大清香泡沫丰富还很容易冲干净,适用性,1
牛油果携款味道好闻吗,轻微的一点味道，好闻,味道,1
你好，有折扣打吗？有赠品吗？,有满减没赠品,价格,0
易冲洗嘛有没有假滑感？,还可以很好不错的,易冲洗,1
这个能不能去黑头呢,黑头是一直需要清理的东西，这个洗面奶我觉得清洁效果还行，洗完不紧绷！对于我来说好像都差不多，这个只是基础！,功能,0
这个假滑吗？,还行吧用的感觉还可以,易冲洗,0
对油性发质，控油效果如何,挺好的,效果,1
好用吗，效果如何？,很温和,效果,0
这个保湿效果怎么样？,还不错,效果,0
洗完蓬松吗,蓬松，燥，要用护发素，效果就很nice了,效果,0
洗完会不会脑袋长痘,没有痘痘，感觉挺好的，也不知道是不是心理原因，洗头发时候留意了一下，掉的头发少了点,不良反应,1
适合男的用还是女的用。,男女都能用。,适用性,1
你们买的也是啥味道没有么,有一点味道，但留香不长,味道,0
麻烦问下大家洗面奶的包装盒和洗面奶有封条吗？,纸盒外有一层塑封和封条。,包装,1
假滑吗我不喜欢假滑的那种,不假滑，洗完很舒服的,易冲洗,1
香味好闻吗？,香味好闻，,味道,1
男士可以用吗？,可,适用性,1
头发分叉用这个会变好吗？,头发分叉用啥洗发水都没用的，只能剪掉，这个洗发水对大油头很友好,效果,-1
控油效果怎么样,一般般吧就那样,效果,0
不是包邮的吗？,商家包邮的,物流,1
这个洗面奶清洁的干净吗？什么味道的？,没有味道，没有香精。洗的干净，清洁力可以的,清洁力,1
可以留香多久,半天,效果,0
去头皮屑吗,还是挺好用的,功能,0
男的可以用吗紫色吕吗,个人觉得黑吕更适合，当然绿吕也没毛病哈哈哈,适用性,1
樱花味有人买么，是什么味道的呀，好闻么,还可以,味道,0
跟专柜的一样吗,一样,认证产品,1
中学生可以用吗？,可以用,适用性,1
这个用着痒吗,我用了痒，洗完第一天就有点痒，第二天就特别痒了，还出头屑，油的也快，第二天毕洗,不良反应,-1
这个可以祛油吗,去油肯定的，,功能,1
请问有效期是近期的吗？谢谢,日期都很新鲜,有效期,1
这个洗面奶用完脸会不会发红发热？,不会，我是敏感肌，用起来很好,不良反应,1
我头发干燥这款洗发水好用吗？谢谢了！,这个力度不是很大，应该还行。,适用性,0
请问用过的宝妈，孩子用了头发有没有顺滑和去屑的效果呀,还可以,效果,0
辣眼睛吗,不，非常好用,不良反应,1
有没有用着起头屑的。我怎么用这个起头皮屑了。,起头屑还很痒,不良反应,-1
这个洗面奶清洁的干净吗？什么味道的？,没味道清洁干净用了两年多了,清洁力,1
这个用完会掉发吗？,会。这个说不准吧。也有可能是一身的原因。说不准的这些东西,不良反应,-1
有泡沫么,有啊，洗发水怎么会没泡沫呢,质地,1
味道好闻吗？,可以，挺香的,味道,1
油性发质能用吗,可以,适用性,1
用过会不会很干，我本来就皮肤干燥,很好不干,不良反应,1
请问染过头发能用吗会不会影响染色效果,没事,适用性,1
有止痒效果吗？,一般吧,效果,0
这个洗面奶洗的干净吗？,一直用的这一款唯一缺点就是用完皮肤会干燥,清洁力,1
我属于油性发质，这款混合性的能用吗？之前一直没有选对洗发水，没有选择去油、控油的男士洗发水。,可以的,适用性,1
你们买的也没有封口吗？,没有,包装,-1
这个洗发水好吗,还好，老牌子,效果,0
你们用了孩子有掉头发的现象吗？,没有,不良反应,1
请问我女儿8岁可以洗吗？？,可以,适用性,1
洗过后香吗,短发不很浓，长发的话不清楚,效果,0
生产日期是不是近期的？,还行吧,有效期,0
你们用了孩子有掉头发的现象吗？,我家也是掉头发而且孩子老头痒不容易冲干净,不良反应,0
用了起头皮屑吗,孩子用不起,不良反应,1
一瓶可以用多久,一个人用的话可以用两三个月吧,使用寿命,0
我头发干有头皮屑用这款行吗,可以吧,适用性,1
能生发吗,不能，可以改善发质,功能,-1
请问买过的朋友这款沐浴露是正品吗？,应该是的,认证产品,0
男生能不能用？,可以,适用性,1
送试用装嘛？,没有,赠品,-1
头发油的话这款适合吗,不合适,适用性,-1
可以去黑头吗,可以,功能,1
这个洗完会不会很干，好冲洗吗,很容易冲洗！,易冲洗,1
女孩子可以用嘛没有头屑,可以,适用性,1
洗完会不会脑袋长痘,用了几天没发现长啊，应该不会,不良反应,0
洗了之后真的会duangduangduang吗？,头发会变的乌黑，但生发还没观察到,效果,0
你们用的有小颗粒吗？,没有,质地,1
适合夏天用？,应该是,适用性,0
是正品嗎？香味是那種香，,是正品，很好用~送的那瓶小的，特别喜欢，下次就选那种喽,认证产品,1
头顶油发尾干这个能行吗,可以，还蛮好用的，我是油头，洗一次，最多可以2天不洗，不过最好还是一天一洗,适用性,1
用后皮肤感觉很干燥吗？滋润度如何？,好用啊，不干，很清爽,效果,1
樱花的味道会不会很刺鼻,不会,味道,1
这个可以把稀疏的头发变浓密吗,有点效果,功能,1
洗了头发很硬很枯燥，头发连在一起很紧怎么办,换洗发水吧,不良反应,0
瓶身大概有多高呀？,我量了18cm,尺寸,0
有没有用了之后长痘痘的,长哪里？,不良反应,0
买过的亲洗面奶有锡纸封口吗,没有,包装,-1
这个里面没有塑封吗？,没有塑封,包装,-1
你们用的有小颗粒吗？,我买了两瓶，一瓶有，一瓶没有,质地,0
女士可以用吗？第一次购买,可以！,适用性,1
轻微痘痘，轻微油性皮肤，男生用起来怎么样？,只能说不会加重你的情况,适用性,0
我用了感觉脱发更严重了有一样嘛,太差劲了,不良反应,-1
口是密封的吗？,是啊,包装,1
清洁怎么样！干净吗,清洁效果非常好，起泡丰富，没有不适感，干净舒适。,清洁力,1
这次1升装的，味道和以前的不一样。以前买的是清香味道，这次挺刺鼻的，有没有人和我一样？,没有这种感觉，味道还行,味道,0
防脱发吗,我用了这款脱发严重后悔死了,功能,-1
香味持久吗？,不太持久，半天吧,效果,0
这款沐浴露，香吗？,还行,味道,0
大家洗完头发会有酸臭酸臭的吗,我们家和朋友家小孩洗了都有味，一开始以为小孩自己没洗干净，重新给他洗一遍，结果还是有味！,味道,-1
这款早晨适合用吗？,可以，很温和的洗面奶,适用性,1
为什么我用你的洗面奶，会一直长痘痘？,个人皮肤不一样吧,不良反应,0
洗完会不会很duang？,很好,效果,1
宝宝们，适合混合皮吗？t区毛孔大。谢谢,我也将近百分之八十和你相似！但是我用了怎么脸上起了红痘痘,适用性,0
里面有锡纸封口吗？,没有,包装,-1
防脱发有效果吗？说实话推荐购买？,还可以,效果,0
适合油皮容易长闭口粉刺的人用吗,适合的，敏感肌可用,适用性,1
控油去屑效果怎么样？,挺不错,效果,1
这款防脱，脱溢性适用么？,掉的少些。有用。但不用完全防脱,适用性,1
山茶花的假滑吗？,不假滑,易冲洗,1
这款洗了脸会假滑吗？,不假滑,易冲洗,1
头皮较多适合这款去屑效果真的好吗？,用了这么久，头皮屑一点没少,效果,-1
59便宜吗？,比超市便宜多了,价格,1
洗完了会不会身上滑滑的那样，感觉冲洗不干净似的？,不会，容易出泡沫，容易冲洗干净,易冲洗,1
这个可以沐浴露洗头吗,不能，洗澡的！,功能,-1
能洗脸用吗,可以的,功能,1
请问购买菁纯的油发们控油效果好吗,相对来说还可以吧,效果,0
这个洗发水可以几天不洗头,最多隔一天就得洗，不咋样,效果,-1
背后有痘痘和粉刺，用这个有效果吗,没用吧，这个又不是药品,效果,-1
这款用了会不会很干啊，我用蜜丝婷的脸超干我是混油皮,不干的，但是用完也要记得用水乳,不良反应,1
请问1000mL可悠然沐浴露条码可以识别得出来吗为什么我买的小的可以识别出来大瓶的却识别不出来,要这么复杂吗？打关键字不出来了。,认证产品,0
适合油性头发嘛？,超级适合大油田！！！别问我怎么知道的哈哈哈,适用性,1
去黑头有效果吗求解答,没有,效果,-1
洗完掉发吗,不洗都会掉,不良反应,0
这款海飞丝是正品吗？,正品,认证产品,1
请问一下是正品吗？,是,认证产品,1
能洗掉防晒嘛？,物理防晒可以的吧，清洁力还不错的,清洁力,0
只有我用了脸上很干吗，我是油皮,混油皮也干,不良反应,-1
请问这款洗面奶有颗粒感吗,没有,质地,1
你们有没有觉得刺眼不小心掉了点眼睛里睁不开的感觉,没有，没明显感觉。,不良反应,0
味道很难闻吗？,没啊，很不错,味道,1
有没有油性发质用完更油的小伙伴,没有感觉有依赖性用别的洗头都不习惯,不良反应,0
洗了掉发吗？,不会,不良反应,1
这个的味道是不是有点重啊！,还好,味道,0
你们洗过头发后，发痒吗，我每次洗过都痒,没有啊,不良反应,1
味道怎么样？,还行，和实体店买的一样,味道,0
是不是正品,还没用，但京东这么大平台况且是自营应该不会有问题吧,认证产品,0
去屑怎么样,可以,效果,1
怎么味道那么臭呢好难闻,不会啊个人觉得还挺香的,味道,1
脱发干燥，适合？？,可以吧,适用性,1
有没有用完起头屑的绿瓶,看个人，我的起,不良反应,-1
这款皮肤适合油性皮肤,清洁力度一般，油皮请用倩碧。,适用性,0
冲水后还会觉得滑吗？好洗吗？,你好，大牌子肯定好用，本人最喜好的牌子。,易冲洗,1
身体发痒有用吗？,有点效果,功能,0
头发油的很快去油能力如何,可以,效果,1
买过的朋友们，去油效果好吗。,好用无硅油洗完头发清爽味道好闻也好用,效果,1
179？？我看最近某，宝上两瓶才四十多呀，又是抬高原价做满减？,的确是这样,价格,-1
用完会痒吗,我用其他洗发水，头皮会痒，这个不会,不良反应,1
你好这款男女都可以用吗？,还不错挺好用的,适用性,1
真的能祛除后背和手臂上的痘痘吗,别被骗了，我用了近两个月啥用都没有,功能,-1
是不是包邮的,是的,物流,1
能保持留香多长时间？,还行,效果,0
我怎么洗了像洗肥皂一样洗完涩涩的又干,不是，很好用，泡沫丰富,不良反应,1
有生发效果吗？,短时间还看不到效果,效果,0
这款男士控油效果怎么样？,不错哦,效果,1
为什么我用了这个，虽然蓬松了，但是巨痒,头屑跟下雪一样、而且头皮很痒,不良反应,-1
洗完会痒吗,真的挺好的,不良反应,1
干性皮肤用了这个会不会起皮？,皮肤干痒，洗什么都一样干。只能靠身体乳。,不良反应,0
女生买男生脱发那款用可以嘛？,防脱发靠洗发水是没有用的,适用性,-1
美白明显吗,这是沐浴露亲，没什么美白效果,效果,-1
味道会不会很大,味道不大，可以用,味道,0
你们用完手会脱皮吗,这又不是洗手液，为什么手会脱皮？,不良反应,0
十二岁以上儿童可以用吗？,可以用。,适用性,1
这款假滑么,挺容易冲洗的，这些年沐浴露只用可悠然,易冲洗,1
不是大学生能用吗,和尚大概率不适用，其他还好,适用性,0
请问洗头会不会有头屑？,没有,不良反应,1
小苍兰假滑吗？姐妹们,洗完很清爽，不会黏黏糊糊的,易冲洗,1
这是洗护合一吗,这是洗发，还有另外一种护发的,功能,0
蓝色是肥皂水的味道么？我买的怎么是香皂的味道,反正还挺好闻的,味道,1
用了之后头皮会痒吗？,会,不良反应,-1
薄荷味的留香久吗,好像没有。,效果,-1
可以生发吗,买的两瓶快用完了头顶有很多碎发,功能,1
真实效果谁知道，除螨是真的吗,我感觉是有效，以前我后背会很痒，用了这个不痒了，应该是有效果的。,效果,1
不小心进眼睛会很痛吗,进眼睛要赶快清洗哦,不良反应,0
这个洁面生产日期呀？外包装没有塑封，里面瓶口也是开封状态没有锡纸封口，没有锡纸封口能存放多久呀？,买过三次了，都没有封口,包装,-1
蓝色的什么味道，能形容一下吗？谢谢,带点清香的，还不错，也不假滑,味道,0
各位大佬，请问洗完头皮感觉辣不辣？,不辣,不良反应,1
会不会很多泡沫,很多，很香,质地,1
孕妇可以使用？,宝宝都可以用,适用性,0
能洗脸吗？,你觉得能洗就洗呗,功能,0
好用不怎么样,挺好用的味道不错,效果,1
真的可以祛痘吗,不可以,功能,-1
好清洗吗，会不会感觉洗不干净似的,不会，一直用的都是舒肤佳，实惠又好用，清洗的很干净。,易冲洗,1
请问有效期是最近的吗？两瓶要用很久,是最进的，一个夏天足够用了,有效期,1
这个沐浴露会假滑嘛？洗完清爽的还是黏糊糊的？,清爽,易冲洗,1
洗了有效果吗,一点效果都没有,效果,-1
你好，我的头发是头顶油发梢干,同发质，用了好多种牌子的洗发水，没啥比较好用的，各种都是用一段时间就不用了,适用性,0
去屑效果如何？好闻吗,很好闻有点淡淡的清香,味道,1
这个品牌适合13岁少女吗,13岁建议用香皂,适用性,0
冬天用皮肤会干吗,不会，这一款挺实用的，省的很,不良反应,1
适合夏天用？,没问题,适用性,1
这个清洁毛孔好用吗,就清洁作用，很少有洗面奶洗去黑头，你也不看看黑头拔出来有多长，要是能的话估计脸蛋都脱几层皮了。,清洁力,-1
这个洗发水女生用好用吗,不分男女，好用,适用性,1
包装很不好吗,包装可以，不会差,包装,1
它这个是什么气味？我用的赠品，一股工业品的味道，没有洗面奶的清香,就是奶味,味道,0
辣眼睛吗？,不辣,不良反应,1
用了之后头皮会痒吗？,不会，感觉还挺好的,不良反应,1
能卸干净安耐晒吗,我买的是沐浴露啊不是洗面奶,清洁力,0
杀菌效果好吗？,蛮好的,效果,1
使用后效果怎么样，谢谢,还可以吧,效果,0
是不是正品,应该是正品吧，用着还可以。,认证产品,0
保湿效果怎么样,还可以呢,效果,0
这个洗面奶洗的干净吗？,还可以这个品牌洗面奶我用了好几年了,清洁力,0
到底那句话真的，能去头屑吗,我没有头屑,功能,0
请问樱花好闻吗？,樱花味的还可以，比较清爽,味道,0
用着干不干,不干，很好用,不良反应,1
大油田能用吗，求真实回答,不控油吧，因为我是干性发质,适用性,0
请问这款氨基酸洗面奶12岁男孩可以用吗？,可以啊,适用性,1
用了会不会脱发？,不会，挺好用,不良反应,1
生姜的洗的时候头皮有没有辣辣的感觉,完全没有，就跟普通的洗发水一样的,不良反应,1
为什么我用你的洗面奶，会一直长痘痘？,那就换别的洗面奶,不良反应,0
请问空气过敏导致皮肤痒是否适合？,根本就没有用！,适用性,-1
30岁能不能用,可以的很温和就是八十岁都行,适用性,1
这款为什么我刚挫开有点奇怪的臭味,我的没有,味道,1
洗完之后会还是很油吗？柔顺吗？10岁建不建议用,我家从一个月就开始用，挺好的,适用性,0
这个好用吗？,还不错,效果,0
我的头发洗完后第二天就出油了，请问这个生姜的可以改善到两天一洗吗？而且防脱发怎么样啊？朋友们,用控油款就可以,效果,1
有生发效果吗？,没感觉,效果,0
这款不是比较适合敏感肌比较温和吗？为什么有好多评论说致痘、干，是故意黑的吗,没觉得，挺好的,不良反应,1
脱发能改善吗？,脱发还需要买专门防脱发的洗发露,效果,0
为什么我跟朋友用就满脸闭口,未发现异常，用着还好，无功无过吧,不良反应,0
对油性头发，去油效果怎么样？,效果一般,效果,0
这个洗面奶里有没有颗粒状的东西，以前买的都有，现在这两个都没有？大家知道的给解答一下，谢谢啦！,目前用下来没有,质地,1
石榴跟山茶的会不会假滑,挺不错的,易冲洗,1
你们买的沐浴露都是同城配送给送货的吗？不想要同城配送的话怎么选外地发货,不知道反正隔天到达,物流,0
我的沐浴露闻起来一股菠萝味，正常吗？,反正这个挺香的,味道,1
有没有长期使用的老用户？真的能生发、使头发变密么？,还行有点效果,功能,0
气味好闻吗，跟舒肤佳比怎么样？,味道比舒肤佳好，更喜欢这个,味道,1
留香持久度大约几个小时,没什么留香时间，有没有香精，不是香氛沐浴露,效果,-1
为啥我一用这个洗发水就头痒起头屑？,个人情况不一样吧！我用就很好哟,不良反应,1
为什么用起来脸感觉有点痛?,你皮肤过干！！如果这么温和你都脸疼，那皮肤缺水易敏感是相当严重,不良反应,0
有没有人用来洗过头？,洗过一次，劲儿比洗发水小，需要更多的量，而且洗完感觉不持久。,功能,-1
洗完冲的干净吗？会不会感觉滑滑的，没冲净？,还行，不难冲,易冲洗,0
冬天也可以用吗这款,可以，只要你觉得不凉爽,适用性,1
香味如何？,还挺好闻的,味道,1
控油怎么样？,一般，正常用没问题,效果,0
刚入手一瓶这个非常怕用这个长痘。。。,这款适合敏感肌，没有致痘成分，其实买的时候都可以看一下成分的,不良反应,1
控油怎么样,控油效果还可以。,效果,0
现在虚假广告没人管吗？用了2个月一点用没有，该痒还是痒，手臂背上小颗粒一点没改善,真的很好用,效果,1
这个洗头发会不会很干？,没有进口的好用，泡沫多，不易冲洗,不良反应,-1
会长痘吗？,不长痘啊洗面乳就只是清洁而已的作用，还比较好用,不良反应,1
这个用了会致痘吗？,不会,不良反应,1
男女通用的吗,能,适用性,1
包一套物流吗？,不,物流,-1
控油效果一般可以持续几天,两天左右的样子,效果,0
你们一瓶能用多久,一个月吧,使用寿命,0
好冲洗吗？？会不会假滑？,不会假滑，好冲洗,易冲洗,1
生姜的洗的时候头皮有没有辣辣的感觉,没有挺好的，洗了掉发少,不良反应,1
日期新嘛，不会快过期了嘛,不会的，放心购买,有效期,1
冬天用皮肤会干吗,不会，有滋润作用，但是任何沐浴露洗完澡还是要抹身体乳的,不良反应,1
会提高发量吗,不会,功能,-1
可以去油吗,我家一直用海飞丝，去屑止痒去油很好的。,功能,1
这个产品防脱生发吗？,真的有用！亲测！我发际线已经开始长小绒毛了，脱发也少了,功能,1
好用吗,挺好的，用的还不错,效果,1
是不是和肥皂一样一冲就掉，会不会洗完滑滑的不干净,还行吧，感觉没有味道的更好。这个柠檬味挺大的。,易冲洗,0
原本脸上有很多痘的话能用这款洗面奶吗？,能用，挺好,适用性,1
能不能去鸡皮能不能去鸡皮能不能去鸡皮求大家摸着良心说下被鸡皮困扰很多年了,可以的。我也是已经好了,功能,1
这款味道香的受不了?,很甜的香味，不算大,味道,1
这个沐浴露香味持久吗,不算太久，正常,效果,0
听说这款洗面奶有致痘风险，用了会不会长痘呀？我本身脸上就爱长痘,我用着还好呀，我本事就挺多闭口粉刺，用着感觉还行,不良反应,0
实话，适合油皮吗,我是油脸，用的挺好的,适用性,1
16岁可以使用嘛,可以吧,适用性,0
洗了掉头发吗？,买来直接给当沐浴露用的，没用这个洗过头,不良反应,0
会漏不，感觉买的漏的好多,没有出现这种情况，包装很严实,包装,1
沐浴露可以洗头吗？,洗头最好是用洗发水，如果你没有喜欢谁暂时用沐浴露代替也是可以的,功能,0
它这个是什么气味？我用的赠品，一股工业品的味道，没有洗面奶的清香,没觉得,味道,0
为什么我的搓开之后有股胶味,我的没有，不清楚你的，不过肯定是正品，如果在保未开封的情况下可以使用,味道,0
第一次用这沐浴露，但感觉比较稀，含水量比其他品牌的沐浴露多，比较稀。但泡沫是比较多，易过水的,常用的一款,质地,0
可以当做清洁面膜？,不一样,功能,0
沐浴露洗完澡会假滑吗,不会,易冲洗,0
去屑效果明显吗？,还行,效果,0
请问这个泡沫丰富吗？,很多而且吹弹不破,质地,1
5倍洗完了会起头屑吗,洗完头屑还是特别多，并且头皮还痒,不良反应,-1
请问用了真的掉很多头发吗？建议买吗,没有啊？挺好用的呀！,不良反应,1
有没有人洗了又痒又出头皮屑？？像没洗一样,没有，只有用它才没头屑,不良反应,1
这款混油皮能用吗，t区能不能洗干净,能用，可以洗干净t区,适用性,1
你好，男人能用这个吗？香味重吗？,不重，洗完几乎没有了,味道,1
能洗掉防晒嘛？,有些效果吧用卸妆的最干净,清洁力,0
洗完会不会脑袋长痘,不会的，揉出泡沫来再往头上洗。,不良反应,1
这个补水柔顺吗？,柔顺,效果,1
这洗发水去屑好不好,控油还可以，但去屑效果差,效果,0
请问持久留香吗？,还可以,效果,0
掉头发有用吗？这个洗发水,防脱的，有点用,功能,1
洗了之后，皮肤干不干,不干啊,不良反应,0
各位亲，请问油皮适合用这个洗面奶吗？清洁能力如何？真心回答,挺好的，适合，没有刺激,适用性,1
四岁可以用吗,可以的，我们一岁半在用，味道很好闻，主要不辣眼睛,适用性,1
好用不？,还行,效果,0
质量好吗？,非常好，去年买两瓶，用了一年，今年再买两瓶，洗后头发顺滑，没有头皮不会痒。,质量,1
用了以后，有没有感觉变帅了或者漂亮了？,彻底帅呆了,效果,1
洗发水是不是正品,京东自营，正品保障,认证产品,1
你好，这个洗头膏去油效果怎么样。,去油好,效果,1
真能防脱发吗？,然而没有什么用,功能,-1
学生可以用吗,可以，温和安全,适用性,1
买完这马上收到货才发现好多人用完长痘痘，真的吗？我也是痘痘肌，不会更严重吧？,我用着没有问题，很好用,不良反应,1
你们洗完干了后手上会不会白白的,这个是沐浴露，又不是其他的功能产品,效果,0
为什么我洗完感觉涩涩的？,挺好的，用点身体乳,不良反应,1
是正品吗。用着顺滑吗,是正品，大油头，用着顺滑,认证产品,1
包真吗？,京东自营的买着还是比较放心的,认证产品,1
这个沐浴露用完容易冲干净吗,能冲洗干净，洗完没有黏黏滑滑的感觉,易冲洗,1
这洗发水女士适用，可我是男的，能用吗？,可以用的,适用性,1
干性发能用吗,可以了,适用性,1
请问一下留香持久吗,并不是很持久,效果,-1
孕妇可以用吗,可以,适用性,1
这款有颗粒感吗？,没有感觉到。,质地,1
会长闭口吗,不会，用了一个月了,不良反应,1
你好，有折扣打吗？有赠品吗？,有满减有赠品,价格,0
会不会掉发,不会,不良反应,1
你好，男人能用这个吗？香味重吗？,当然。沐浴露都香,味道,1
请问这个可以除螨虫吗,不是祛螨虫的,功能,-1
洗头洗澡都可以用吗,是的，还不错,功能,1
这款男士用怎么样，皮肤有点偏油，用欧莱雅高夫都感觉太干了，不太想用皂基的！,可以用,适用性,1
味道很重吗,不,味道,0
有些品牌的沐浴露洗后刺挠怎么回事？请问舒服佳用着怎么样？,很好用。,不良反应,1
这个油性皮肤。脸上经常长痘可以用吗？,应该可以,适用性,0
这个沐浴露用完容易冲干净吗,很容易冲洗干净,易冲洗,1
亲们孕妇可以用吗,可以的！！！！,适用性,1
对很多沐浴露都会过敏，这个沐浴露洗完身上会痒吗,大品牌，用起来很放心，质量非常好，赶上活动购买非常的划算,不良反应,0
好用嘛，，，，，，，,好用，一直都在用,效果,1
这个包装漏吗,不漏啊,包装,1
用了容易掉头发吗？,还好，不会！,不良反应,1
有没有用了78年左右？我现在掉的快成秃头了。,一直用的清扬呀挺好用的,不良反应,1
这款都没密封包装吗,没有，我也觉得奇怪,包装,-1
你们用了没有觉得用了以后头皮屑超级多吗？？？？,不会的洗完很清爽,不良反应,1
这款洗面奶夏天可以用吗？一定要在秋冬季节用吗？,不分季节吧，都还好，我是混干皮用着不紧绷,适用性,1
这个品牌没听过，好用吗？,好用,效果,1
头发油的很快去油能力如何,我觉得没有去油,效果,-1
这款会不会油的快,觉得不适合油性发质,不良反应,-1
适合十岁男孩子用吗？,应该也可以吧,适用性,0
洗完之后头皮痒？这是为什么啊？,我也觉得痒，还抠出头皮屑来，很痒,不良反应,-1
大家买的有塑封膜吗,没有，早就没有塑封膜了,包装,-1
湿疹可以用吗,湿疹应该没事，我用的效果挺好的,适用性,0
这个洗完有火辣感吗,没有,不良反应,1
洗了之后真的会duangduangduang吗？,还可以，不过有效果,效果,0
男生用会不会太香？,不，可以,味道,1
能上脸吗？,上脸不买洗脸的吗,功能,0
有用吗？真能除螨吗？会不会都是托？,还行,功能,0
有没有赠品,有袋装的200ml赠品,赠品,1
用这个洗完澡会起皮吗,不会,不良反应,1
控油嘛这个,还可以，去油力度一般般吧，适合不那么油的。味道比较好闻，干发可用,功能,0
不用护发素的话，洗完头发柔顺吗？,洗完很柔顺，价格小贵,效果,1
香味大吗,很好闻,味道,1
它的祛痘效果好吗,祛痘买祛痘精华。流金水祛痘效果很好，可以尝试。亲测有效,效果,0
这个适合冬天还是夏天用呀？,一年四季，男女老少都可以用哦！,适用性,1
请问用过的各位大神，隆力奇这款驱螨沐浴露真像广告宣传的那样，还是涉嫌虚假宣传？,效果一般般，没有广告说的那么神奇,效果,0
这款假滑么,不假滑，用完很干爽,易冲洗,1
这个洗完有火辣感吗,没有，一直在用，很好,不良反应,1
你们洗着会一戳戳掉头发嘛,洗了以后一大把一大把的掉头发,不良反应,-1
这款会不会油的快,这款不好，打结，不控油。痒,功能,-1
请问这款洗发水去头皮屑么,去一点,效果,0
包装有封膜吗？是不是正品？,没有，但应该是正品,包装,-1
请问这育发液好用吗？考研备战中;;头发快脱光了，可怕,压力大脱发很实用,效果,1
这个牌子好用吗,一般,效果,0
男士能用吗,可以,适用性,1
适合油性头发嘛？,很适合。,适用性,1
头发会增粗吗,不会，脱发有减少,功能,-1
这里买的芙丽芳丝洗面奶有没有颗粒感？,完全没有,质地,1
真的可以止痒祛痘嘛，有痘印怎么解决,买祛痘的,功能,0
男士能用吗,男女都可以呀,适用性,1
男生用会不会太香？,女孩是真喜欢，她说喜欢我身上的味道,味道,1
亲们孕妇可以用吗,应该可以的,适用性,0
我用了之后头皮好痒，你们有这种情况吗？,可能是你过敏了吧，我用就挺好用的,不良反应,1
这款柠檬的洗完很痒，舍友洗完还过敏了，这搞什么,我用过没事，香味正常，可能是个别皮肤体质问题,不良反应,0
头发毛毛躁躁的，用了柔顺不,挺柔顺的。,适用性,1
这个效果好吗？头发很油，最近总熬夜脱发比较严重，不是遗传的,程序员必备洗发水！,效果,0
请问这款洗发水去屑止痒吗？,可以吧,效果,0
起泡多不,不太多，比较清爽,质地,0
请问这款洗发水去头皮屑么,还行,功能,0
洗完会不会很干？,不会。,不良反应,1
美白明显吗,挺不错的,效果,1
用这个洗完头发，头发会;咣;一下，很亮、很柔吗？,用完比较油腻,效果,-1
